Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Feb 3 2021,7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,
Wed Feb 3 2021,7:00p,Los Angeles Clippers,,Cleveland Cavaliers,,,,,
Wed Feb 3 2021,7:00p,Indiana Pacers,,Milwaukee Bucks,,,,,
Wed Feb 3 2021,7:30p,Dallas Mavericks,,Atlanta Hawks,,,,,
Wed Feb 3 2021,7:30p,Washington Wizards,,Miami Heat,,,,,
Wed Feb 3 2021,8:00p,New York Knicks,,Chicago Bulls,,,,,
Wed Feb 3 2021,8:00p,Houston Rockets,,Oklahoma City Thunder,,,,,
Wed Feb 3 2021,8:30p,Minnesota Timberwolves,,San Antonio Spurs,,,,,
Wed Feb 3 2021,9:30p,Phoenix Suns,,New Orleans Pelicans,,,,,
Wed Feb 3 2021,10:00p,Boston Celtics,,Sacramento Kings,,,,,
Thu Feb 4 2021,7:00p,Portland Trail Blazers,,Philadelphia 76ers,,,,,
Thu Feb 4 2021,7:30p,Utah Jazz,,Atlanta Hawks,,,,,
Thu Feb 4 2021,7:30p,Golden State Warriors,,Dallas Mavericks,,,,,
Thu Feb 4 2021,8:00p,Houston Rockets,,Memphis Grizzlies,,,,,
Thu Feb 4 2021,10:00p,Denver Nuggets,,Los Angeles Lakers,,,,,
Fri Feb 5 2021,7:00p,Utah Jazz,,Charlotte Hornets,,,,,
Fri Feb 5 2021,7:00p,New Orleans Pelicans,,Indiana Pacers,,,,,
Fri Feb 5 2021,7:00p,Chicago Bulls,,Orlando Magic,,,,,
Fri Feb 5 2021,7:30p,Toronto Raptors,,Brooklyn Nets,,,,,
Fri Feb 5 2021,7:30p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,
Fri Feb 5 2021,8:00p,Washington Wizards,,Miami Heat,,,,,
Fri Feb 5 2021,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,
Fri Feb 5 2021,9:00p,Detroit Pistons,,Phoenix Suns,,,,,
Fri Feb 5 2021,10:00p,Boston Celtics,,Los Angeles Clippers,,,,,
Sat Feb 6 2021,1:00p,Portland Trail Blazers,,New York Knicks,,,,,
Sat Feb 6 2021,5:00p,Denver Nuggets,,Sacramento Kings,,,,,
Sat Feb 6 2021,7:00p,Memphis Grizzlies,,New Orleans Pelicans,,,,,
Sat Feb 6 2021,7:00p,Chicago Bulls,,Orlando Magic,,,,,
Sat Feb 6 2021,7:00p,Brooklyn Nets,,Philadelphia 76ers,,,,,
Sat Feb 6 2021,7:30p,Toronto Raptors,,Atlanta Hawks,,,,,
Sat Feb 6 2021,8:00p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,
Sat Feb 6 2021,8:00p,San Antonio Spurs,,Houston Rockets,,,,,
Sat Feb 6 2021,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,
Sat Feb 6 2021,8:30p,Golden State Warriors,,Dallas Mavericks,,,,,
Sat Feb 6 2021,10:00p,Detroit Pistons,,Los Angeles Lakers,,,,,
Sun Feb 7 2021,1:00p,Portland Trail Blazers,,Charlotte Hornets,,,,,
Sun Feb 7 2021,1:00p,Utah Jazz,,Indiana Pacers,,,,,
Sun Feb 7 2021,1:00p,Miami Heat,,New York Knicks,,,,,
Sun Feb 7 2021,2:00p,Boston Celtics,,Phoenix Suns,,,,,
Sun Feb 7 2021,3:00p,Sacramento Kings,,Los Angeles Clippers,,,,,
Mon Feb 8 2021,7:00p,Houston Rockets,,Charlotte Hornets,,,,,
Mon Feb 8 2021,8:00p,Washington Wizards,,Chicago Bulls,,,,,
Mon Feb 8 2021,8:00p,Toronto Raptors,,Memphis Grizzlies,,,,,
Mon Feb 8 2021,8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,
Mon Feb 8 2021,8:30p,Golden State Warriors,,San Antonio Spurs,,,,,
Mon Feb 8 2021,9:00p,Cleveland Cavaliers,,Phoenix Suns,,,,,
Mon Feb 8 2021,9:30p,Milwaukee Bucks,,Denver Nuggets,,,,,
Mon Feb 8 2021,10:00p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,
Tue Feb 9 2021,7:00p,Brooklyn Nets,,Detroit Pistons,,,,,
Tue Feb 9 2021,7:30p,New York Knicks,,Miami Heat,,,,,
Tue Feb 9 2021,7:30p,Houston Rockets,,New Orleans Pelicans,,,,,
Tue Feb 9 2021,8:30p,Golden State Warriors,,San Antonio Spurs,,,,,
Tue Feb 9 2021,10:00p,Orlando Magic,,Portland Trail Blazers,,,,,
Tue Feb 9 2021,10:00p,Philadelphia 76ers,,Sacramento Kings,,,,,
Tue Feb 9 2021,10:00p,Boston Celtics,,Utah Jazz,,,,,
Wed Feb 10 2021,7:00p,Toronto Raptors,,Washington Wizards,,,,,
Wed Feb 10 2021,7:30p,Indiana Pacers,,Brooklyn Nets,,,,,
Wed Feb 10 2021,7:30p,Atlanta Hawks,,Dallas Mavericks,,,,,
Wed Feb 10 2021,8:00p,New Orleans Pelicans,,Chicago Bulls,,,,,
Wed Feb 10 2021,8:00p,Charlotte Hornets,,Memphis Grizzlies,,,,,
Wed Feb 10 2021,8:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,,,
Wed Feb 10 2021,9:00p,Cleveland Cavaliers,,Denver Nuggets,,,,,
Wed Feb 10 2021,10:00p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,
Wed Feb 10 2021,10:00p,Milwaukee Bucks,,Phoenix Suns,,,,,
Thu Feb 11 2021,7:00p,Indiana Pacers,,Detroit Pistons,,,,,
Thu Feb 11 2021,7:30p,Miami Heat,,Houston Rockets,,,,,
Thu Feb 11 2021,10:00p,Orlando Magic,,Golden State Warriors,,,,,
Thu Feb 11 2021,10:00p,Philadelphia 76ers,,Portland Trail Blazers,,,,,
Fri Feb 12 2021,7:00p,Minnesota Timberwolves,,Charlotte Hornets,,,,,
Fri Feb 12 2021,7:00p,New York Knicks,,Washington Wizards,,,,,
Fri Feb 12 2021,7:30p,San Antonio Spurs,,Atlanta Hawks,,,,,
Fri Feb 12 2021,7:30p,Toronto Raptors,,Boston Celtics,,,,,
Fri Feb 12 2021,7:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,
Fri Feb 12 2021,8:00p,Los Angeles Clippers,,Chicago Bulls,,,,,
Fri Feb 12 2021,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,
Fri Feb 12 2021,9:00p,Milwaukee Bucks,,Utah Jazz,,,,,
Fri Feb 12 2021,10:00p,Memphis Grizzlies,,Los Angeles Lakers,,,,,
Fri Feb 12 2021,10:00p,Cleveland Cavaliers,,Portland Trail Blazers,,,,,
Fri Feb 12 2021,10:00p,Orlando Magic,,Sacramento Kings,,,,,
Sat Feb 13 2021,5:00p,Philadelphia 76ers,,Phoenix Suns,,,,,
Sat Feb 13 2021,7:30p,Indiana Pacers,,Atlanta Hawks,,,,,
Sat Feb 13 2021,7:30p,Houston Rockets,,New York Knicks,,,,,
Sat Feb 13 2021,8:30p,Brooklyn Nets,,Golden State Warriors,,,,,
Sat Feb 13 2021,9:00p,Miami Heat,,Utah Jazz,,,,,
Sun Feb 14 2021,3:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,
Sun Feb 14 2021,6:00p,Detroit Pistons,,Boston Celtics,,,,,
Sun Feb 14 2021,6:00p,Minnesota Timberwolves,,Toronto Raptors,,,,,
Sun Feb 14 2021,7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,
Sun Feb 14 2021,7:00p,Milwaukee Bucks,,Oklahoma City Thunder,,,,,
Sun Feb 14 2021,7:30p,Los Angeles Lakers,,Denver Nuggets,,,,,
Sun Feb 14 2021,8:00p,Orlando Magic,,Phoenix Suns,,,,,
Sun Feb 14 2021,9:00p,Memphis Grizzlies,,Sacramento Kings,,,,,
Sun Feb 14 2021,10:00p,Cleveland Cavaliers,,Los Angeles Clippers,,,,,
Mon Feb 15 2021,7:00p,Chicago Bulls,,Indiana Pacers,,,,,
Mon Feb 15 2021,7:00p,Houston Rockets,,Washington Wizards,,,,,
Mon Feb 15 2021,7:30p,Atlanta Hawks,,New York Knicks,,,,,
Mon Feb 15 2021,9:00p,Philadelphia 76ers,,Utah Jazz,,,,,
Mon Feb 15 2021,10:00p,Cleveland Cavaliers,,Golden State Warriors,,,,,
Mon Feb 15 2021,10:00p,Miami Heat,,Los Angeles Clippers,,,,,
Mon Feb 15 2021,10:00p,Brooklyn Nets,,Sacramento Kings,,,,,
Tue Feb 16 2021,7:00p,Denver Nuggets,,Boston Celtics,,,,,
Tue Feb 16 2021,7:00p,San Antonio Spurs,,Detroit Pistons,,,,,
Tue Feb 16 2021,7:30p,New Orleans Pelicans,,Memphis Grizzlies,,,,,
Tue Feb 16 2021,8:00p,Toronto Raptors,,Milwaukee Bucks,,,,,
Tue Feb 16 2021,8:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,
Tue Feb 16 2021,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
Tue Feb 16 2021,10:00p,Brooklyn Nets,,Phoenix Suns,,,,,
Wed Feb 17 2021,7:00p,Chicago Bulls,,Charlotte Hornets,,,,,
Wed Feb 17 2021,7:00p,San Antonio Spurs,,Cleveland Cavaliers,,,,,
Wed Feb 17 2021,7:00p,New York Knicks,,Orlando Magic,,,,,
Wed Feb 17 2021,7:00p,Denver Nuggets,,Washington Wizards,,,,,
Wed Feb 17 2021,7:30p,Atlanta Hawks,,Boston Celtics,,,,,
Wed Feb 17 2021,7:30p,Houston Rockets,,Philadelphia 76ers,,,,,
Wed Feb 17 2021,8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,
Wed Feb 17 2021,8:00p,Portland Trail Blazers,,New Orleans Pelicans,,,,,
Wed Feb 17 2021,8:30p,Detroit Pistons,,Dallas Mavericks,,,,,
Wed Feb 17 2021,10:00p,Miami Heat,,Golden State Warriors,,,,,
Wed Feb 17 2021,10:00p,Utah Jazz,,Los Angeles Clippers,,,,,
Thu Feb 18 2021,7:30p,Toronto Raptors,,Milwaukee Bucks,,,,,
Thu Feb 18 2021,10:00p,Brooklyn Nets,,Los Angeles Lakers,,,,,
Thu Feb 18 2021,10:00p,Miami Heat,,Sacramento Kings,,,,,
Fri Feb 19 2021,7:00p,Denver Nuggets,,Charlotte Hornets,,,,,
Fri Feb 19 2021,7:00p,Golden State Warriors,,Orlando Magic,,,,,
Fri Feb 19 2021,7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,
Fri Feb 19 2021,7:30p,Atlanta Hawks,,Boston Celtics,,,,,
Fri Feb 19 2021,8:00p,Detroit Pistons,,Memphis Grizzlies,,,,,
Fri Feb 19 2021,8:00p,Oklahoma City Thunder,,Milwaukee Bucks,,,,,
Fri Feb 19 2021,8:00p,Toronto Raptors,,Minnesota Timberwolves,,,,,
Fri Feb 19 2021,8:00p,Phoenix Suns,,New Orleans Pelicans,,,,,
Fri Feb 19 2021,9:30p,Dallas Mavericks,,Houston Rockets,,,,,
Fri Feb 19 2021,10:00p,Utah Jazz,,Los Angeles Clippers,,,,,
Sat Feb 20 2021,5:00p,San Antonio Spurs,,New York Knicks,,,,,
Sat Feb 20 2021,7:00p,Golden State Warriors,,Charlotte Hornets,,,,,
Sat Feb 20 2021,8:00p,Sacramento Kings,,Chicago Bulls,,,,,
Sat Feb 20 2021,8:00p,Indiana Pacers,,Houston Rockets,,,,,
Sat Feb 20 2021,8:00p,Phoenix Suns,,Memphis Grizzlies,,,,,
Sat Feb 20 2021,8:30p,Miami Heat,,Los Angeles Lakers,,,,,
Sat Feb 20 2021,10:00p,Washington Wizards,,Portland Trail Blazers,,,,,
Sun Feb 21 2021,3:30p,Boston Celtics,,New Orleans Pelicans,,,,,
Sun Feb 21 2021,6:00p,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,
Sun Feb 21 2021,6:00p,Detroit Pistons,,Orlando Magic,,,,,
Sun Feb 21 2021,6:00p,Philadelphia 76ers,,Toronto Raptors,,,,,
Sun Feb 21 2021,7:00p,Minnesota Timberwolves,,New York Knicks,,,,,
Sun Feb 21 2021,7:30p,Denver Nuggets,,Atlanta Hawks,,,,,
Sun Feb 21 2021,8:00p,Brooklyn Nets,,Los Angeles Clippers,,,,,
Sun Feb 21 2021,8:00p,Sacramento Kings,,Milwaukee Bucks,,,,,
Mon Feb 22 2021,7:00p,San Antonio Spurs,,Indiana Pacers,,,,,
Mon Feb 22 2021,8:00p,Chicago Bulls,,Houston Rockets,,,,,
Mon Feb 22 2021,8:00p,Miami Heat,,Oklahoma City Thunder,,,,,
Mon Feb 22 2021,8:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,
Mon Feb 22 2021,9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,
Mon Feb 22 2021,9:00p,Charlotte Hornets,,Utah Jazz,,,,,
Mon Feb 22 2021,10:00p,Washington Wizards,,Los Angeles Lakers,,,,,
Tue Feb 23 2021,7:00p,Atlanta Hawks,,Cleveland Cavaliers,,,,,
Tue Feb 23 2021,7:00p,Detroit Pistons,,Orlando Magic,,,,,
Tue Feb 23 2021,7:30p,Sacramento Kings,,Brooklyn Nets,,,,,
Tue Feb 23 2021,7:30p,Boston Celtics,,Dallas Mavericks,,,,,
Tue Feb 23 2021,7:30p,Golden State Warriors,,New York Knicks,,,,,
Tue Feb 23 2021,7:30p,Philadelphia 76ers,,Toronto Raptors,,,,,
Tue Feb 23 2021,8:00p,Minnesota Timberwolves,,Milwaukee Bucks,,,,,
Tue Feb 23 2021,10:00p,Portland Trail Blazers,,Denver Nuggets,,,,,
Tue Feb 23 2021,10:00p,Washington Wizards,,Los Angeles Clippers,,,,,
Wed Feb 24 2021,7:00p,Golden State Warriors,,Indiana Pacers,,,,,
Wed Feb 24 2021,7:30p,Boston Celtics,,Atlanta Hawks,,,,,
Wed Feb 24 2021,7:30p,Houston Rockets,,Cleveland Cavaliers,,,,,
Wed Feb 24 2021,7:30p,Toronto Raptors,,Miami Heat,,,,,
Wed Feb 24 2021,8:00p,Minnesota Timberwolves,,Chicago Bulls,,,,,
Wed Feb 24 2021,8:00p,Detroit Pistons,,New Orleans Pelicans,,,,,
Wed Feb 24 2021,8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,,,
Wed Feb 24 2021,9:00p,Charlotte Hornets,,Phoenix Suns,,,,,
Wed Feb 24 2021,10:00p,Los Angeles Lakers,,Utah Jazz,,,,,
Thu Feb 25 2021,7:00p,Dallas Mavericks,,Philadelphia 76ers,,,,,
Thu Feb 25 2021,7:30p,Orlando Magic,,Brooklyn Nets,,,,,
Thu Feb 25 2021,7:30p,Sacramento Kings,,New York Knicks,,,,,
Thu Feb 25 2021,8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,
Thu Feb 25 2021,9:00p,Washington Wizards,,Denver Nuggets,,,,,
Thu Feb 25 2021,9:30p,New Orleans Pelicans,,Milwaukee Bucks,,,,,
Fri Feb 26 2021,7:00p,Sacramento Kings,,Detroit Pistons,,,,,
Fri Feb 26 2021,7:30p,Indiana Pacers,,Boston Celtics,,,,,
Fri Feb 26 2021,7:30p,Houston Rockets,,Toronto Raptors,,,,,
Fri Feb 26 2021,8:00p,Phoenix Suns,,Chicago Bulls,,,,,
Fri Feb 26 2021,8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,
Fri Feb 26 2021,8:00p,Utah Jazz,,Miami Heat,,,,,
Fri Feb 26 2021,8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,
Fri Feb 26 2021,10:00p,Charlotte Hornets,,Golden State Warriors,,,,,
Fri Feb 26 2021,10:00p,Portland Trail Blazers,,Los Angeles Lakers,,,,,
Sat Feb 27 2021,3:00p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
Sat Feb 27 2021,6:00p,New Orleans Pelicans,,San Antonio Spurs,,,,,
Sat Feb 27 2021,7:00p,Indiana Pacers,,New York Knicks,,,,,
Sat Feb 27 2021,7:00p,Utah Jazz,,Orlando Magic,,,,,
Sat Feb 27 2021,7:00p,Minnesota Timberwolves,,Washington Wizards,,,,,
Sat Feb 27 2021,8:00p,Denver Nuggets,,Oklahoma City Thunder,,,,,
Sat Feb 27 2021,8:30p,Dallas Mavericks,,Brooklyn Nets,,,,,
Sun Feb 28 2021,3:30p,Los Angeles Clippers,,Milwaukee Bucks,,,,,
Sun Feb 28 2021,6:00p,New York Knicks,,Detroit Pistons,,,,,
Sun Feb 28 2021,6:00p,Atlanta Hawks,,Miami Heat,,,,,
Sun Feb 28 2021,6:00p,Chicago Bulls,,Toronto Raptors,,,,,
Sun Feb 28 2021,7:00p,Washington Wizards,,Boston Celtics,,,,,
Sun Feb 28 2021,7:00p,Memphis Grizzlies,,Houston Rockets,,,,,
Sun Feb 28 2021,8:00p,Golden State Warriors,,Los Angeles Lakers,,,,,
Sun Feb 28 2021,8:00p,Phoenix Suns,,Minnesota Timberwolves,,,,,
Sun Feb 28 2021,9:00p,Charlotte Hornets,,Sacramento Kings,,,,,
Mon Mar 1 2021,7:00p,Dallas Mavericks,,Orlando Magic,,,,,
Mon Mar 1 2021,7:00p,Indiana Pacers,,Philadelphia 76ers,,,,,
Mon Mar 1 2021,8:00p,Cleveland Cavaliers,,Houston Rockets,,,,,
Mon Mar 1 2021,8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
Mon Mar 1 2021,8:00p,Denver Nuggets,,Chicago Bulls,,,,,
Mon Mar 1 2021,8:30p,Brooklyn Nets,,San Antonio Spurs,,,,,
Mon Mar 1 2021,10:30p,Charlotte Hornets,,Portland Trail Blazers,,,,,
Tue Mar 2 2021,7:00p,Memphis Grizzlies,,Washington Wizards,,,,,
Tue Mar 2 2021,7:30p,Los Angeles Clippers,,Boston Celtics,,,,,
Tue Mar 2 2021,7:30p,Atlanta Hawks,,Miami Heat,,,,,
Tue Mar 2 2021,7:30p,Detroit Pistons,,Toronto Raptors,,,,,
Tue Mar 2 2021,8:00p,Denver Nuggets,,Milwaukee Bucks,,,,,
Tue Mar 2 2021,8:30p,New York Knicks,,San Antonio Spurs,,,,,
Tue Mar 2 2021,10:00p,Phoenix Suns,,Los Angeles Lakers,,,,,
Wed Mar 3 2021,7:00p,Indiana Pacers,,Cleveland Cavaliers,,,,,
Wed Mar 3 2021,7:00p,Atlanta Hawks,,Orlando Magic,,,,,
Wed Mar 3 2021,7:00p,Utah Jazz,,Philadelphia 76ers,,,,,
Wed Mar 3 2021,7:30p,Brooklyn Nets,,Houston Rockets,,,,,
Wed Mar 3 2021,8:00p,Charlotte Hornets,,Minnesota Timberwolves,,,,,
Wed Mar 3 2021,8:00p,Chicago Bulls,,New Orleans Pelicans,,,,,
Wed Mar 3 2021,8:30p,Oklahoma City Thunder,,Dallas Mavericks,,,,,
Wed Mar 3 2021,10:00p,Golden State Warriors,,Portland Trail Blazers,,,,,
Wed Mar 3 2021,10:00p,Los Angeles Lakers,,Sacramento Kings,,,,,
Thu Mar 4 2021,7:00p,Toronto Raptors,,Boston Celtics,,,,,
Thu Mar 4 2021,7:00p,Denver Nuggets,,Indiana Pacers,,,,,
Thu Mar 4 2021,7:00p,Los Angeles Clippers,,Washington Wizards,,,,,
Thu Mar 4 2021,8:00p,Milwaukee Bucks,,Memphis Grizzlies,,,,,
Thu Mar 4 2021,8:30p,Oklahoma City Thunder,,San Antonio Spurs,,,,,
Thu Mar 4 2021,9:30p,Miami Heat,,New Orleans Pelicans,,,,,
Thu Mar 4 2021,10:00p,Sacramento Kings,,Portland Trail Blazers,,,,,
